seed_key,guide_camera_connector_seed_key,manufacturer_seed_key,aperture_mm,focal_length_mm,model_name,notes,weight_g,source_url
# --- ZWO ---
guide_scope.zwo.30f4,connector_size.1_25_inch,manufacturer.zwo,30.0,120.0,30mm f/4 Mini Guide Scope,Cemented doublet lens; f/4 focal ratio; threaded front objective cell with 0-20mm adjustable back focus; M42x0.75 male thread on rear plus 1.25" barrel with locking screws; includes guide rings and Vixen/Synta style dovetail; recommended for main scopes up to ~1200mm FL,250,https://www.zwoastro.com/2019/08/14/asi-guide-camera-selection-guide/
guide_scope.zwo.30f5,connector_size.1_25_inch,manufacturer.zwo,30.0,150.0,30mm f/5 Mini Guide Scope,Triplet APO with built-in ED glass; f/5 focal ratio; non-rotating helical focuser with locking screw; M42x0.75 male thread on rear plus 1.25" barrel; quick-release dovetail plate; recommended for main scopes up to 750mm FL; upgraded replacement for the 30F4,348,https://agenaastro.com/zwo-30mm-f-5-mini-guide-scope-for-asi-cameras.html
guide_scope.zwo.60280,connector_size.1_25_inch,manufacturer.zwo,60.0,280.0,60mm f/4.6 Guide Scope,Multi-coated f/4.6 doublet; rotatable 1.25" helical focuser with 30mm travel; 15mm published back focus; includes two mounting rings with six alignment screws and Vixen-style dovetail rail with five 1/4-20 holes; CNC-machined aluminum; recommended for main scopes up to ~1500mm FL,640,https://agenaastro.com/zwo-60mm-guidescope-helical-focuser-60280.html
# --- William Optics ---
guide_scope.william_optics.uniguide_50,connector_size.1_25_inch,manufacturer.william_optics,50.0,200.0,UniGuide 50mm f/4,Doublet lens design; fully multi-coated; f/4 focal ratio; 5.7 degree field of view; 1.25" RotoLock adapter (twist-lock) with M48 male thread underneath; front-cell focusing; available in slide-base variant (integrated Vixen dovetail for WO carry handles) and bracket-mount variant; multiple color options (black/red/gold/space grey),460,https://williamoptics.com/products/uniguide-50
# --- Askar ---
guide_scope.askar.32f4,connector_size.1_25_inch,manufacturer.askar,32.0,128.0,32mm f/4 Guide Scope,Doublet objective lens; f/4 focal ratio; helical focuser with 20mm travel; X and Y axis fine adjustment screws; 1.25" adapter and M42 threaded adapter included; Vixen-style finder base bracket; CNC machined aluminum; available in black or silver,303,https://www.sharpstar-optics.com/Products_1/71.html
guide_scope.askar.52f4,connector_size.1_25_inch,manufacturer.askar,52.0,208.0,52mm f/4 Guide Scope,Doublet objective lens; f/4 focal ratio; aperture area 164% larger than the 32mm model; helical focuser; X and Y axis fine adjustment; 1.25" adapter and M42 threaded adapter included; can also be used for visual observation; limiting magnitude approximately 10.4,631,https://agenaastro.com/askar-52mm-f-4-guide-scope.html
guide_scope.askar.52sd,connector_size.1_25_inch,manufacturer.askar,52.0,249.0,52mm SD Super ED Guide Scope,Doublet objective lens with SD (super extra-low dispersion) glass; f/4.8 focal ratio; helical focuser with 25mm travel; 1.25" adapter and M42 threaded adapter plus two 40mm extension tubes included; extension tubes and adapter are removable to accommodate different camera back focus distances; can also be used for visual observation and astrophotography,740,https://altairastro.com/askar-52mm-super-ed-guide-scope-14339-p.asp
# --- Sky-Watcher ---
guide_scope.skywatcher.evoguide_50ed,connector_size.1_25_inch,manufacturer.skywatcher,50.0,242.0,Evoguide 50ED,ED doublet APO refractor using Ohara S-FPL53 glass; f/4.8 focal ratio; non-rotating helical focuser with 18mm drawtube travel; T2 (M42x0.75) thread and 1.25" socket; 20mm back focus (60mm with included 40mm extension tube removed); includes collimation rings with nylon-tipped screws; sold as 50ED (SKU 10199) internationally and 50DX (SKU S11174) in North America with tube rings and Vixen-style plate; approximately 865g per multiple retailer sources,,https://www.skywatcherusa.com/products/evoguide-50-apo-refractor
